Year_Birth,Education,Divorced,Widow,Absurd,YOLO,Single,Married,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
3.11,3,0,0,0,0,1,0,0.25,0,0,0.0,2.93,2.13,1.55,1.58,3.32,1.67,1.22,0.35,1.41,1.79,-0.55,7,0,0,0,0,0,0,3,11,1
2.96,3,0,0,0,0,1,0,-0.21,1,1,5.0,1.92,0.04,-0.64,0.02,0.04,0.02,0.08,-0.17,-1.11,0.18,-1.17,5,0,0,0,0,0,0,3,11,0
3.5,3,0,0,0,0,0,1,0.78,0,0,2.5,1.31,1.43,0.57,0.37,2.14,0.4,0.58,-0.69,1.41,0.36,1.3,4,0,0,0,0,0,0,3,11,0
4.42,3,0,0,0,0,0,1,-0.98,1,0,5.0,1.31,0.04,-0.56,0.06,0.19,0.06,0.07,-0.17,-0.75,0.0,-0.55,6,0,0,0,0,0,0,3,11,0
4.27,5,0,0,0,0,0,1,0.26,1,0,5.0,4.75,0.58,0.42,0.34,0.89,0.51,0.21,1.38,0.33,0.54,0.06,5,0,0,0,0,0,0,3,11,0
3.59,4,0,0,0,0,0,1,0.42,0,1,2.5,0.81,1.74,0.39,0.28,0.0,0.8,0.19,-0.17,0.69,0.71,1.3,6,0,0,0,0,0,0,3,11,0
3.79,3,1,0,0,0,0,0,0.15,0,1,0.0,1.72,0.79,0.97,0.48,0.97,0.93,0.37,0.87,1.05,0.54,0.37,6,0,0,0,0,0,0,3,11,0
4.47,5,0,0,0,0,0,1,-0.71,1,0,2.5,1.62,0.25,-0.41,0.16,0.06,0.02,0.32,-0.17,-0.03,0.0,-0.55,8,0,0,0,0,0,0,3,11,0
3.93,5,0,0,0,0,0,1,-0.83,1,0,2.5,0.96,0.05,-0.66,0.07,0.06,0.06,0.03,-0.69,-0.39,0.0,-1.17,9,0,0,0,0,0,0,3,11,1
2.77,5,0,0,0,0,0,1,-1.8,1,1,5.0,3.43,0.09,-0.66,0.02,0.02,0.02,0.18,-0.69,-1.11,0.0,-1.78,20,1,0,0,0,0,0,3,11,0
4.37,3,0,0,0,0,0,1,-2.02,1,0,2.5,0.56,0.02,-0.54,0.02,0.0,0.04,0.01,-0.69,-1.11,0.0,-1.17,7,0,0,0,0,0,0,3,11,0
4.03,1,0,0,0,0,0,1,-1.73,0,0,0.0,2.98,0.02,-0.26,0.03,0.21,0.02,0.22,-0.69,-0.75,0.0,-0.86,8,0,0,0,0,0,0,3,11,0
3.2,3,1,0,0,0,0,0,0.44,0,0,2.5,4.14,0.65,0.87,1.39,4.34,2.13,0.41,-0.69,-0.39,0.71,0.68,2,0,0,0,0,0,0,3,11,0
2.86,4,1,0,0,0,0,0,0.3,1,1,2.5,2.68,0.78,-0.61,0.15,0.06,0.1,0.19,0.35,0.69,0.18,-0.24,6,0,0,0,0,0,0,3,11,0
4.56,3,0,0,0,0,0,1,-1.34,0,0,0.0,1.92,0.01,-0.31,0.05,0.12,0.02,0.07,-0.69,-1.11,0.0,-0.86,8,0,0,0,0,0,0,3,11,0
2.57,5,0,0,0,0,1,0,1.22,0,0,0.0,1.16,3.37,-0.11,0.33,1.14,1.29,0.62,-0.69,1.05,1.07,1.91,3,0,0,1,1,0,0,3,11,1
4.22,3,0,0,0,0,0,1,-0.38,1,1,0.0,2.58,0.18,-0.54,0.06,0.04,0.25,0.06,0.35,-0.39,0.0,-0.86,8,0,0,0,0,0,0,3,11,0
2.57,3,0,0,0,0,0,1,-0.54,0,0,0.0,1.01,0.28,-0.54,0.11,2.9,0.23,0.39,-0.17,-0.03,0.18,0.06,7,0,0,0,0,0,0,3,11,0
2.72,4,0,0,0,0,0,1,0.99,0,1,2.5,4.6,3.39,1.35,1.44,0.0,0.3,2.43,-0.17,2.49,0.71,0.99,5,0,0,0,1,0,0,3,11,0
4.47,2,0,0,0,0,1,0,-0.7,1,0,0.0,4.34,0.01,-0.23,0.06,0.58,0.46,0.54,-0.17,-0.75,0.18,-0.86,6,0,0,0,0,0,0,3,11,0
